id,claim,source_title,source_url,source_mode,source_type,date,author_org,evidence_quote_or_paraphrase,confidence,conflicts,notes,used_in_final,topic_id,source_id,change_id
E1,"CAK's current runtime core is intentionally pure and does not execute scripts or perform I/O.","CAK Runtime v0","docs/22_cak_runtime_v0.md","inspected","internal_doc","2026-06-24","CAK","Runtime v0 is a pure deterministic function from EvalRequest to Decision and is not a script executor, MCP server, markdown parser, or harness.","high","","Baseline architecture invariant.","yes","cak-wasm-runtime","src_cak_runtime_v0",""
E2,"The Rust core currently has a small dependency surface.","Cargo workspace","Cargo.toml; crates/cak-runtime-core/Cargo.toml","inspected","source_code","2026-06-24","CAK","cak-runtime-core depends on serde, serde_json, and thiserror; CLI/adapter depend on clap/anyhow and the core.","high","","Embedding Wasmtime in core would be a major dependency change.","yes","cak-wasm-runtime","src_cargo",""
E3,"CAK's own RDR scope separates ordinary skill packages from runtime-control skills.","Programmatic Runtime Skill Scope Gate","docs/rd/runs/rdr_001_agent_native_skill/programmatic_runtime_skill_scope.md","inspected","internal_doc","2026-06-24","CAK","Package-only, script-only, and plugin-only examples are not runtime-control skills unless they have activation, state/action access, loop position, intervention behavior, audit, verifier/admission, and lifecycle.","high","","WASM only matters if CAK permits executable runtime-control artifacts.","yes","cak-wasm-runtime","src_scope_gate",""
E4,"Wasmtime is an embeddable runtime for WebAssembly, WASI, and the Component Model.","Wasmtime introduction","https://raw.githubusercontent.com/bytecodealliance/wasmtime/main/docs/introduction.md","inspected","official_docs","2026-06-24","Bytecode Alliance","Wasmtime can be used as a command-line utility or embedded library and targets WebAssembly, WASI, and Component Model.","high","","Supports plugin-host feasibility.","yes","cak-wasm-runtime","src_wasmtime_intro",""
E5,"Wasmtime/WebAssembly sandboxing is import/export based and can prevent raw system access unless the host grants capabilities.","Wasmtime security","https://raw.githubusercontent.com/bytecodealliance/wasmtime/main/docs/security.md","inspected","official_docs","2026-06-24","Bytecode Alliance","All interaction with the outside world is through imports and exports; there is no raw access to syscalls or I/O. WASI filesystem access follows a capability-based model.","high","","Strong argument for WASM as sandboxed plugin ABI.","yes","cak-wasm-runtime","src_wasmtime_security",""
E6,"WASM determinism is not automatic; host imports and Wasmtime config matter.","Deterministic Wasm Execution","https://raw.githubusercontent.com/bytecodealliance/wasmtime/main/docs/examples-deterministic-wasm-execution.md","inspected","official_docs","2026-06-24","Bytecode Alliance","Docs say Wasm is mostly deterministic but nondeterminism can enter through imports, NaN values, relaxed SIMD, memory/table growth, and interruption mode.","high","","WASM does not preserve CAK determinism unless configured and constrained.","yes","cak-wasm-runtime","src_wasmtime_deterministic",""
E7,"Wasmtime supports deterministic fuel-based interruption and faster but non-deterministic epoch interruption.","Interrupting Wasm Execution","https://raw.githubusercontent.com/bytecodealliance/wasmtime/main/docs/examples-interrupting-wasm.md","inspected","official_docs","2026-06-24","Bytecode Alliance","Fuel interruption is deterministic but slower; epoch interruption is faster but non-deterministic and wall-time based.","high","","CAK should use fuel for replay/admission experiments if using WASM.","yes","cak-wasm-runtime","src_wasmtime_interrupting",""
E8,"The Component Model provides richer typed interfaces and WIT worlds/packages for cross-language component boundaries.","Component Model docs","https://raw.githubusercontent.com/bytecodealliance/component-docs/main/component-model/src/design/components.md","inspected","official_docs","2026-06-24","Bytecode Alliance","Components are self-describing binaries that interact through interfaces; WIT describes imports/exports, interfaces, and worlds.","high","","Good long-term ABI candidate, heavier than JSON string spike.","yes","cak-wasm-runtime","src_component_model",""
E9,"WASI 0.2 is stable, WASI 0.3 is preview, and several APIs remain proposal-stage.","WASI README and Proposals","https://raw.githubusercontent.com/WebAssembly/WASI/main/README.md","inspected","official_docs","2026-06-24","WASI Subgroup","WASI README describes 0.2 as modular APIs and 0.3 as current preview; proposals list has many APIs in phases 0-3.","medium","","Ecosystem maturity is promising but not a reason to force WASM into v0 core.","yes","cak-wasm-runtime","src_wasi",""
E10,"Extism is designed for WebAssembly plugin systems and can simplify PDK/host integration.","Extism README and Rust PDK","https://raw.githubusercontent.com/extism/extism/main/README.md","inspected","official_repo_docs","2026-06-24","Extism","Extism positions one primary use case as extensible software/plugins and untrusted user code; Rust PDK shows plugin_fn exports compiled to wasm32-unknown-unknown.","medium","","Good spike candidate; less standards-native than Component Model/WIT.","yes","cak-wasm-runtime","src_extism",""
E11,"Agy recommended C-to-B: keep JSON boundary now, target WASM plugin ABI later.","Agy provider pass","provider_router run --provider-id agy-default","observed","provider_output","2026-06-24","agy","Agy rejected replacing the Rust core, endorsed sandboxed plugin ABI, and warned that forcing WASM now can hurt simple-user DX.","medium","","Provider synthesis; not primary evidence.","yes","cak-wasm-runtime","src_agy",""
E12,"Claude-haiku warned that WASM now risks ABI lock-in before CAK knows what a skill is.","Claude-haiku provider pass","provider_router run --provider-id claude-haiku","observed","provider_output","2026-06-24","anthropic","Claude argued not to use WASM as core runtime yet and to revisit Component Model when 3+ ecosystems, versioning, and isolation are proven needs.","medium","","Provider critique; useful counterweight.","yes","cak-wasm-runtime","src_claude",""
